adjRateConst,sudoAdjRateConst,meldRateConst,discardedAdjCardsConst,discardedSudoAdjConst,is_game_winner
0.9976438593936257,0.10236673465697843,0.8196154361301564,0.008789962193697431,0.5853766885422277,1
0.11455946495917158,0.6283447738229576,0.37752640319813724,0.26775754470670865,0.37873585502715024,0
0.05653603352065917,0.9923899236308141,0.3041380543598431,0.4317387230064277,0.012535511627686957,0
0.48860714590050514,0.5109258621348164,0.2335924433111315,0.10578778683853962,0.2233443049925774,0
0.39289157871012437,0.2635239023867345,0.3868083181323786,0.33520952134732396,0.508987611979208,1
0.8185742625608265,0.17029518329505733,0.1477006117160351,0.9627980631473492,0.8820066158491495,1
0.5719598271318795,0.5370960888673244,0.2647651137321936,0.5958118676384906,0.9431659102872572,1
0.8158372188942205,0.3468507403802612,0.43122049821122943,0.391767567570088,0.3539867701141278,1
0.32115760991581666,0.34292743947700743,0.9945753599930722,0.8302215760634909,0.5218677799753019,0
0.9142292349907524,0.987482683911487,0.03212670202831602,0.45470865389525816,0.3269086209684535,1
0.04665380143657627,0.08063313157918173,0.033074171718917245,0.8925396132917078,0.5709648987709329,1
0.7599412688113724,0.8351487056037546,0.36862822719012667,0.9402137453559002,0.39122293356366356,0
0.24058560442402166,0.5698253901962446,0.02077994779943948,0.440653846167238,0.8122000354271861,1
0.48677293366424323,0.4756696836309309,0.3743530730418888,0.82384406258658,0.06292858913212418,0
0.6382138791280786,0.18265243676858478,0.27630357580456355,0.7758038142978113,0.3810620211028374,0
0.3361501042400097,0.4159689173497424,0.09801053452018516,0.8005992402935382,0.5371535802436704,1
0.27667452226895783,0.36909955626996416,0.960018286810894,0.2910623312421844,0.3217973346995022,0
0.1620629820688121,0.6752123260100888,0.06658358105747975,0.40530487182423347,0.9734508596281969,0
0.8526517582990948,0.8060526381225159,0.9982584081027608,0.651464155983438,0.6597857427600589,0
0.7731437040892813,0.5159712007023161,0.7798916737431084,0.9393383858043544,0.9463115410151397,1
0.13526070359569642,0.6242290015262069,0.6286513017593064,0.06835081916688979,0.58644190060581,0
0.24290938058700606,0.3398023800881935,0.7048255420066293,0.37898456869151387,0.287952432059163,0
0.8410961616340437,0.19129528319587186,0.6199167150105884,0.7355412311271682,0.13995789902441746,0
0.3638916786831079,0.2728451196045366,0.18764928508002254,0.6650522928223944,0.870505289395025,1
0.32598778833457465,0.47692437110272956,0.48583529658953917,0.6534767408727405,0.21393673647032296,1
