current_player,current_player_score,opponent_score,current_player_deadwood,current_player_num_hit_cards,is_current_player_hand_winner,is_current_player_game_winner
1,0,0,65,7,1,1
0,0,0,32,4,0,0
0,0,0,37,5,0,0
0,0,0,27,5,0,0
1,0,0,65,6,1,1
1,0,0,45,5,1,1
1,0,0,35,5,1,1
0,0,0,27,5,0,0
0,0,0,37,5,0,0
0,0,0,27,5,0,0
1,0,0,35,5,1,1
1,0,0,45,5,1,1
1,0,0,35,5,1,1
0,0,0,27,5,0,0
0,0,0,24,5,0,0
0,0,0,14,5,0,0
1,0,0,35,4,1,1
1,0,0,26,5,1,1
1,0,0,19,3,1,1
0,0,0,14,5,0,0
0,0,0,22,5,0,0
0,0,0,14,5,0,0
1,0,0,19,2,1,1
1,0,0,19,3,1,1
1,0,0,13,1,1,1
0,0,0,14,5,0,0
0,0,0,24,5,0,0
0,0,0,14,5,0,0
1,0,0,13,1,1,1
1,0,0,23,1,1,1
1,0,0,13,1,1,1
0,0,0,14,5,0,0
0,0,0,21,5,0,0
0,0,0,14,5,0,0
1,0,0,13,0,1,1
1,0,0,13,1,1,1
1,0,0,7,1,1,1
1,0,0,7,1,1,1
0,0,7,41,2,0,0
1,7,0,63,4,1,1
1,7,0,51,4,1,1
1,7,0,41,4,1,1
0,0,7,41,2,0,0
0,0,7,44,6,0,0
0,0,7,34,6,0,0
1,7,0,41,4,1,1
1,7,0,51,5,1,1
1,7,0,41,4,1,1
0,0,7,34,6,0,0
0,0,7,44,8,0,0
0,0,7,34,6,0,0
1,7,0,41,4,1,1
1,7,0,41,4,1,1
1,7,0,31,4,1,1
0,0,7,34,6,0,0
0,0,7,38,7,0,0
0,0,7,28,7,0,0
1,7,0,31,4,1,1
1,7,0,31,4,1,1
1,7,0,21,4,1,1
0,0,7,28,7,0,0
0,0,7,38,7,0,0
0,0,7,28,7,0,0
1,7,0,21,4,1,1
1,7,0,31,4,1,1
1,7,0,21,4,1,1
0,0,7,28,7,0,0
0,0,7,29,7,0,0
0,0,7,22,7,0,0
1,7,0,21,4,1,1
1,7,0,28,7,1,1
1,7,0,21,6,1,1
0,0,7,22,7,0,0
0,0,7,24,8,0,0
0,0,7,19,8,0,0
1,7,0,21,5,1,1
1,7,0,14,6,1,1
1,7,0,7,4,1,1
1,7,0,7,4,1,1
1,12,0,67,4,1,1
1,12,0,56,5,1,1
1,12,0,46,5,1,1
0,0,12,63,6,0,0
