current_player,current_player_score,opponent_score,current_player_deadwood,current_player_num_hit_cards,is_current_player_hand_winner,is_current_player_game_winner
1,0,0,48,1,1,1
0,0,0,43,2,0,0
0,0,0,43,2,0,0
0,0,0,33,2,0,0
1,0,0,48,1,1,1
1,0,0,28,2,1,1
1,0,0,18,2,1,1
0,0,0,33,2,0,0
0,0,0,43,2,0,0
0,0,0,33,2,0,0
1,0,0,18,2,1,1
1,0,0,26,2,1,1
1,0,0,16,2,1,1
0,0,0,33,2,0,0
0,0,0,27,4,0,0
0,0,0,18,4,0,0
1,0,0,16,1,1,1
1,0,0,16,1,1,1
1,0,0,8,1,1,1
1,0,0,8,1,1,1
0,0,10,35,4,1,0
1,10,0,42,3,0,1
0,0,10,35,4,1,0
0,0,10,38,6,1,0
0,0,10,28,4,1,0
1,10,0,42,3,0,1
1,10,0,45,3,0,1
1,10,0,35,3,0,1
0,0,10,28,4,1,0
0,0,10,35,4,1,0
0,0,10,25,4,1,0
1,10,0,35,3,0,1
1,10,0,31,4,0,1
1,10,0,23,2,0,1
0,0,10,25,4,1,0
0,0,10,35,4,1,0
0,0,10,25,4,1,0
1,10,0,23,2,0,1
1,10,0,31,3,0,1
1,10,0,23,2,0,1
0,0,10,25,4,1,0
0,0,10,34,4,1,0
0,0,10,25,4,1,0
1,10,0,23,2,0,1
1,10,0,30,2,0,1
1,10,0,22,2,0,1
0,0,10,25,4,1,0
0,0,10,31,7,1,0
0,0,10,24,6,1,0
1,10,0,22,2,0,1
1,10,0,22,1,0,1
1,10,0,15,1,0,1
0,0,10,24,6,1,0
0,0,10,29,6,1,0
0,0,10,23,4,1,0
1,10,0,15,1,0,1
1,10,0,17,1,0,1
1,10,0,11,1,0,1
0,0,10,23,4,1,0
0,0,10,29,4,1,0
0,0,10,23,4,1,0
1,10,0,11,1,0,1
1,10,0,16,3,0,1
1,10,0,11,1,0,1
0,0,10,23,3,1,0
0,0,10,10,2,1,0
0,0,10,5,2,1,0
0,0,10,5,2,1,0
1,10,6,30,5,1,1
