current_player,current_player_score,opponent_score,current_player_deadwood,current_player_num_hit_cards,is_current_player_hand_winner,is_current_player_game_winner
0,0,0,68,8,1,1
1,0,0,76,6,0,0
0,0,0,68,8,1,1
0,0,0,78,11,1,1
0,0,0,68,9,1,1
1,0,0,76,6,0,0
1,0,0,79,6,0,0
1,0,0,69,4,0,0
0,0,0,68,8,1,1
0,0,0,48,7,1,1
0,0,0,38,7,1,1
1,0,0,69,4,0,0
1,0,0,71,5,0,0
1,0,0,61,5,0,0
0,0,0,38,7,1,1
0,0,0,46,9,1,1
0,0,0,38,6,1,1
1,0,0,61,5,0,0
1,0,0,69,7,0,0
1,0,0,59,7,0,0
0,0,0,38,6,1,1
0,0,0,40,8,1,1
0,0,0,32,8,1,1
1,0,0,59,7,0,0
1,0,0,47,6,0,0
1,0,0,37,6,0,0
0,0,0,32,8,1,1
0,0,0,24,6,1,1
0,0,0,17,4,1,1
1,0,0,37,6,0,0
1,0,0,34,6,0,0
1,0,0,25,2,0,0
0,0,0,17,4,1,1
0,0,0,22,4,1,1
0,0,0,15,4,1,1
1,0,0,25,2,0,0
1,0,0,26,2,0,0
1,0,0,17,2,0,0
0,0,0,15,3,1,1
0,0,0,15,3,1,1
0,0,0,9,3,1,1
0,0,0,9,3,1,1
1,0,8,74,8,1,0
0,8,0,60,4,0,1
1,0,8,74,8,1,0
1,0,8,83,10,1,0
1,0,8,73,8,1,0
0,8,0,60,4,0,1
0,8,0,61,5,0,1
0,8,0,51,5,0,1
1,0,8,73,8,1,0
1,0,8,83,8,1,0
1,0,8,73,8,1,0
0,8,0,51,5,0,1
0,8,0,61,5,0,1
0,8,0,51,5,0,1
1,0,8,73,8,1,0
1,0,8,59,5,1,0
1,0,8,49,3,1,0
0,8,0,51,5,0,1
0,8,0,39,5,0,1
0,8,0,29,5,0,1
1,0,8,49,3,1,0
1,0,8,59,5,1,0
1,0,8,49,3,1,0
0,8,0,29,5,0,1
0,8,0,35,6,0,1
0,8,0,26,6,0,1
1,0,8,49,2,1,0
1,0,8,31,2,1,0
1,0,8,21,2,1,0
0,8,0,26,6,0,1
0,8,0,28,7,0,1
0,8,0,21,5,0,1
1,0,8,21,1,1,0
1,0,8,21,1,1,0
1,0,8,13,1,1,0
0,8,0,21,5,0,1
0,8,0,24,8,0,1
0,8,0,19,6,0,1
1,0,8,13,1,1,0
1,0,8,23,1,1,0
1,0,8,13,1,1,0
0,8,0,19,6,0,1
0,8,0,23,9,0,1
0,8,0,18,9,0,1
1,0,8,13,1,1,0
1,0,8,23,1,1,0
1,0,8,13,1,1,0
0,8,0,18,9,0,1
0,8,0,27,9,0,1
0,8,0,18,9,0,1
1,0,8,13,0,1,0
1,0,8,13,0,1,0
1,0,8,7,0,1,0
1,0,8,7,0,1,0
0,8,11,66,8,0,1
1,11,8,70,7,1,0
0,8,11,66,8,0,1
0,8,11,70,10,0,1
0,8,11,60,8,0,1
1,11,8,70,6,1,0
1,11,8,50,5,1,0
1,11,8,40,5,1,0
0,8,11,60,8,0,1
0,8,11,70,8,0,1
0,8,11,60,8,0,1
1,11,8,40,5,1,0
1,11,8,44,7,1,0
1,11,8,34,7,1,0
0,8,11,60,8,0,1
0,8,11,61,8,0,1
0,8,11,51,8,0,1
1,11,8,34,7,1,0
1,11,8,35,9,1,0
1,11,8,25,9,1,0
0,8,11,51,8,0,1
0,8,11,33,7,0,1
0,8,11,26,7,0,1
1,11,8,25,9,1,0
1,11,8,35,9,1,0
1,11,8,25,9,1,0
0,8,11,26,7,0,1
0,8,11,19,4,0,1
0,8,11,13,3,0,1
1,11,8,25,8,1,0
1,11,8,16,7,1,0
1,11,8,8,7,1,0
1,11,8,8,7,1,0
1,16,8,68,6,0,0
0,8,16,40,3,1,1
1,16,8,68,6,0,0
1,16,8,75,10,0,0
1,16,8,65,10,0,0
0,8,16,40,3,1,1
0,8,16,50,5,1,1
0,8,16,40,5,1,1
1,16,8,65,10,0,0
1,16,8,68,10,0,0
1,16,8,58,8,0,0
0,8,16,40,4,1,1
0,8,16,20,4,1,1
0,8,16,13,4,1,1
1,16,8,58,7,0,0
1,16,8,44,5,0,0
1,16,8,34,5,0,0
0,8,16,13,4,1,1
